Title,Author(s),Publish Year,Subjects
Advances in Artificial Intelligence,"Hutchison, David - undifferentiated",2009,"Biometric identification, Translators (Computer programs), Data mining, Optical pattern recognition, Artificial intelligence, Computer science, Congresses"
Advances in artificial intelligence,,2001,"Congresses, Artificial intelligence, Machine learning"
Advances in robot learning,,2000,"Control systems, Congresses, Robots, Artificial intelligence"
AngelF,Salvatore Iaconesi,2009,"Artificial intelligence, Fiction"
Applied artificial intelligence,,2006,"Nuclear physics, Congresses, Mathematics, Nuclear engineering, Fuzzy logic, Artificial intelligence, Computational intelligence"
Artificial intelligence and knowledge engineering applications,"José Mira, José R. Álvarez",2005,"Expert systems (Computer science), Congresses, Artificial intelligence"
Artificial intelligence in medicine,,1999,"Medical applications, Congresses, Decision making, Data processing, Medicine, Artificial intelligence"
"Artificial Intelligence: Methodology, Systems, and Applications",Jaime G. Carbonell,2008,"Data mining, Information storage and retrieval systems, Information systems, Artificial intelligence, Database management, Congresses"
Artificial intelligence and symbolic computation,,1998,"Congresses, Symbolic and mathematical Logic, Artificial intelligence"
Artificial intelligence,,2000,"Congresses, Artificial intelligence"
Artificial intelligence,Michael C. Harris,2011,"Science, Juvenile literature, Computer science, Artificial intelligence"
Artificial Intelligence and Soft Computing – ICAISC 2008,Leszek Rutkowski,2008,"Computer vision, Computer software, Computer science, Artificial intelligence, Database management, Soft computing, Congresses"
Medial Representations,M. A. Viergever,2008,"Geometry, Computer vision, Algorithms, Computer science, Artificial intelligence, Engineering, mathematical models, Computer algorithms, Science, Artificial Intelligence (incl. Robotics), Mathematics, Image Processing and Computer Vision, Computational Science and Engineering"
The Social Semantic Web,John G. Breslin,2009,"Information storage and retrieval systems, Information systems, Computer science, Artificial intelligence, Management information systems, Informatique, World Wide Web, Storage & Retrieval, Online social networks, Social aspects, COMPUTERS, Semantic Web, Online Services, System Administration, Sociale netwerken, Semantisch web, Semantic web, Internet, social aspects"
Logical Tools for Handling Change in Agent-Based Systems,Dov M. Gabbay,2010,"Symbolic and mathematical Logic, Computer science, Artificial intelligence, Logic, Intelligent agents (computer software), Reasoning, Logic, symbolic and mathematical, Intelligent agents (Computer software), Nonmonotonic reasoning"
Biomedical image analysis and machine learning technologies,,2010,"Methods, Diagnostic imaging, Digital techniques, Image Interpretation, Computer-Assisted, Image analysis, Artificial Intelligence, Machine learning"
Convergence and Hybrid Information Technology,Geuk Lee,2011,"Computer science, Information storage and retrieval systems, Computer networks, Data mining, Artificial intelligence, Computer software, Information technology, Computer networks, congresses"
New Developments in Multiple Objective and Goal Programming,Dylan Jones,2010,"Business logistics, Mathematical optimization, Economics, Artificial intelligence, Operations research, Congresses, Programming (Mathematics), Multiple criteria decision making, Programming (mathematics), Decision making"
Artificial intelligence applications for improved software engineering development,"Farid Meziane, Sunil Vadera",2009,"Development, Artificial intelligence, Computer software, Computer software, development"
Scalable Uncertainty Management,Salem Benferhat,2011,"Computer science, Information storage and retrieval systems, Database management, Computer networks, Data mining, Artificial intelligence, Uncertainty (information theory), Uncertainty (Information theory), Congresses"
Modeling and Control for Efficient Bipedal Walking Robots,Vincent Duindam,2009,"Control engineering systems, Artificial intelligence, Robots, programming, Robots, Motion, Control systems, Schreitroboter, Bipedie"
Information modelling and knowledge bases XX,European-Japanese Conference on Information Modelling and Knowledge Bases (18th 2008),2009,"Expert systems (Computer science), Congresses, System design, Artificial intelligence, Information modeling"
Recent Advances in Multimedia Signal Processing and Communications,Mislav Grgić,2009,"Engineering, Information systems, Engineering mathematics, Telecommunication, Artificial intelligence, Multimedia systems, Signal processing, Computational intelligence"
Mining Of Data With Complex Structures,Tharam S. Dillon,2011,"Engineering, Engineering mathematics, Artificial intelligence, Data mining, Computer algorithms, Computational intelligence"
New Horizons In Web Based Learning Icwl 2010 Workshops Icwl 2010 Workshops Steg Cicw Wglbws And Iwkdewl Shanghai China December 711 2010 Revised Selected Papers,Xiangfeng Luo,2011,"Multimedia systems, Education, Computer science, Artificial intelligence, Education, computer network resources, Education, congresses, Internet in education"
Ai 2009 Advances In Artificial Intelligence 22nd Australasian Joint Conference Melbourne Australia December 14 2009 Proceedings,Ann Nicholson,2010,"Information storage and retrieval systems, Data mining, Computer science, Artificial intelligence, Translators (Computer programs), Congresses, Künstliche Intelligenz, Kongress"
The Universe As Automaton From Simplicity And Symmetry To Complexity,Leon O. Chua,2011,"Engineering, Information theory, Physics, Artificial intelligence, Neurobiology, Science, Philosophy, Complexity (Philosophy), Cellular automata"
Data Warehousing And Knowledge Discovery 10th International Conference Dawak 2008 Turin Italy September 25 2008 Proceedings,Tho Manh Nguyen,2008,"Data mining, Database management, Information systems, Artificial intelligence, Management information systems, Data warehousing, Congresses, Database searching"
Intelligent Computer Mathematics 11th International Conference Proceedings,John Campbell,2012,"Mathematics, data processing, Algebra, data processing, Computer science, Congresses, Mathematics, Artificial intelligence, Informatique, Algebra, Data processing, Information storage and retrieval systems, Logic design"
Singularity Rising Surviving And Thriving In A Smarter Richer And More Dangerous World,James D. Miller,2012,"Brain, Evolution, Genetics, Human evolution, Robotics, Artificial intelligence, Business Intelligence Tools, Intelligence levels, Enterprise Applications, Intelligence (AI) & Semantics, COMPUTERS, Economic development, Investment analysis"
"Mobile Multimedia Communications
            
                Lecture Notes of the Institute for Computer Sciences Social",Daniel Giusto,2012,"Mobile communication systems, Computer science, Computer networks, Software engineering, Information storage and retrieval systems, Artificial intelligence, Multimedia systems, Multimedia communications, Congresses"
Robot Physical Interaction Through The Combination Of Vision Tactile And Force Feedback Applications To Assistive Robotics,Mario Prats,2012,"Robots, Human engineering, Artificial intelligence, Computer science"
Progress In Artificial Intelligence 14th Portuguese Conference On Artificial Intelligence Epia 2009 Aveiro Portugal October 1215 2009 Proceedings,Luis Seabra Lopes,2009,"Computer vision, Information systems, Computer simulation, Data mining, Artificial intelligence, Computer science, Congresses, Ambient Intelligence, Bioinformatik, Künstliche Intelligenz, Mehragentensystem, Soft Computing, Systembiologie, Wissensverarbeitung"
Advanced Concepts For Intelligent Vision Systems 11th International Conference Acivs 2009 Bordeaux France September 28 October 2 2009 Proceedings,Jacques Blanc-Talon,2009,"Biometric identification, Computer vision, Computer graphics, Computer science, Optical pattern recognition, Artificial intelligence, Congresses, Image processing, Farbbildverarbeitung, Kongress, Multispektraltechnik, Maschinelles Sehen, Bilderkennung, Bildverstehen, Szenenanalyse, Objektverfolgung, Videobearbeitung, Bildanalyse, Biometry"
Theory And Practice Of Computation Workshop On Computation Theory And Practice Quezon City Philippines September 2011 Proceedings,Jaime D. L. Caro,2012,"Computer science, Congresses, Information theory, Logic design, Data mining, Artificial intelligence"
Innovations In Agentbased Complex Automated Negotiations,Valentin Robu,2010,"Engineering, Engineering mathematics, Artificial intelligence, Intelligent agents (computer software), Multiagent systems"
A Rapid Introduction To Adaptive Filtering,Hernan Rey,2012,"Engineering, Artificial intelligence, Electric filters, Computational intelligence"
Intelligent Interactive Systems In Knowledgebased Environments,Lakhmi C. Jain,2010,"Interactive computer systems, Artificial intelligence, Expert systems (computer science)"
Cartesian Genetic Programming,Julian Miller,2011,"Computer engineering, Information systems, Computer-aided design, Computer science, Information theory, Artificial intelligence, Evolutionary programming (Computer science), Genetische Programmierung, Genetic programming (Computer science), Electrical engineering, Artificial Intelligence (incl. Robotics), Computer Appl. in Arts and Humanities, Computer-Aided Engineering (CAD, CAE) and Design, Theory of Computation"
E-Commerce and Web Technologies,Christian Huemer,2011,"Information systems, Artificial intelligence, Economics, Management information systems, Electronic commerce, Information Systems Applications (incl.Internet), Artificial Intelligence (incl. Robotics), Economics/Management Science, Business Information Systems, Computer Appl. in Administrative Data Processing, E-Commerce/e-business"
Towards Autonomous Robotic Systems,Roderich Gross,2011,"Computer vision, Computer science, Artificial intelligence, Control systems, Robotics, Congresses, Autonomous robots, Robots"
Emotional Cognitive Neural Algorithms with Engineering Applications,Leonid Perlovsky,2011,"Logic design, Engineering, Physics, Artificial intelligence, Neural networks (computer science), Computer algorithms, Logic, symbolic and mathematical, Formal methods (Computer science), Computer logic, Neural networks (Computer science), Cognitive neuroscience"
Digital Information Processing and Communications,Václav Snášel,2011,"Information systems, Computer science, Software engineering, Information storage and retrieval systems, Computer networks, Artificial intelligence, Computer software, Algorithm Analysis and Problem Complexity, Information retrieval, Information organization, Computer Communication Networks, Artificial Intelligence (incl. Robotics), Information Systems Applications (incl.Internet)"
Analysis of Social Media and Ubiquitous Data,Martin Atzmueller,2011,"Information systems, Computer science, Computer networks, Artificial intelligence, Law and legislation, Computers, Ubiquitous computing, Social media, Congresses, Data mining, Online social networks, Mobile computing"
Innovations in Intelligent Machines – 2,Toyohide Watanabe,2012,"Engineering, Artificial intelligence, Conscious automata"
Advances Concepts for Intelligent Vision Systems,Jacques Blanc-Talon,2011,"Computer vision, Computer graphics, Computer science, Optical pattern recognition, Computer networks, Artificial intelligence, Computer software, Image processing, Pattern perception, Artificial Intelligence (incl. Robotics), Computer Communication Networks, Algorithm Analysis and Problem Complexity, Image Processing and Computer Vision"
Semantics in Data and Knowledge Bases,Klaus-Dieter Schewe,2011,"Information systems, Computer science, Information storage and retrieval systems, Database management, Computer networks, Artificial intelligence, Information technology, Semantics, data processing, Semantic Web, Congresses, Ontologies (Information retrieval)"
Database and Expert Systems Applications,Abdelkader Hameurlain,2011,"Information systems, Computer science, Information storage and retrieval systems, Database management, Computer networks, Data mining, Artificial intelligence, Expert systems (computer science)"
Computing and Intelligent Systems,Yanwen Wu,2011,"Information systems, Computer science, Software engineering, Information storage and retrieval systems, Computer networks, Artificial intelligence, Computer software, Electronic systems, Information Systems Applications (incl.Internet), Information retrieval, Information organization, Artificial Intelligence (incl. Robotics), Computer Communication Networks, Algorithm Analysis and Problem Complexity"
Transactions on Edutainment VI,Zhigeng Pan,2011,"Information systems, Computer science, Multimedia systems, Education, Computer graphics, Artificial intelligence, Computer-assisted instruction, Educational games, Active learning"
Computer Analysis of Images and Patterns,Pedro Real,2011,"Biometric identification, Computer vision, Computer science, Data mining, Optical pattern recognition, Text processing (Computer science), Artificial intelligence, Image processing, digital techniques"
Live Data Structures in Logic Programs,Anne Mulkers,1993,"Logic design, Logics and Meanings of Programs, Computer Science, Programming Languages, Compilers, Interpreters, Computer science, Artificial intelligence, Artificial Intelligence (incl. Robotics)"
Markov Decision Processes and the Belief-Desire-Intention Model,Gerardo I. Simari,2011,"Computer simulation, Computer science, Artificial intelligence, Intelligent agents (Computer software), Statistical decision, Decision making, Markov processes, Intelligent agents (computer software), Artificial Intelligence (incl. Robotics), Simulation and Modeling"
New Advances in Intelligent Signal Processing,António E. Ruano,2011,"Engineering, Engineering mathematics, Artificial intelligence, Intelligent control systems, Signal processing, Adaptive signal processing, Digital techniques, Signal processing, digital techniques"
Artificial Intelligence Applications and Innovations,Lazaros Iliadis,2011,"Information storage and retrieval systems, Database management, Computer science, Artificial intelligence, Data mining, Computational intelligence, Information Systems Applications (incl. Internet), Information retrieval, Information organization, Artificial Intelligence (incl. Robotics), Computation by Abstract Devices, Data Mining and Knowledge Discovery"
Intelligent and adaptive systems in medicine,,2008,"Medical applications, Methods, Medical Informatics Applications, Intelligent control systems, Biomedical engineering, Biomedical Technology, Computer simulation, Congresses, Diagnosis, Computer-Assisted, Expert Systems, Artificial intelligence"
Computational Intelligence in Engineering,Imre J. Rudas,2010,"Engineering, Artificial intelligence, Computational intelligence, Computer programs, Engineering, computer network resources"
On the Move to Meaningful Internet Systems: OTM 2009 Workshops,Robert Meersman,2009,"Information systems, Computer science, Database management, Information storage and retrieval systems, Data mining, Artificial intelligence, Distributed databases, Internet, Congresses, Web databases"
Medical Image Computing and Computer-Assisted Intervention – MICCAI 2011,Gabor Fichtinger,2011,"Medical records, Computer graphics, Optical pattern recognition, Medical Radiology, Computer vision, Computer science, Data processing, Artificial intelligence, Diagnostic imaging, Surgery"
CONCUR 2011 – Concurrency Theory,Joost-Pieter Katoen,2011,"Logic design, Information systems, Computer science, Software engineering, Computer networks, Artificial intelligence, Parallel processing (electronic computers), Electronic data processing"
"Designing E-Business Systems. Markets, Services, and Networks",Christof Weinhardt,2009,"Information systems, Computer science, Artificial intelligence, Management information systems, Electronic commerce, Business, Congresses, Data processing"
Articulated Motion and Deformable Objects,Francisco José Perales,2010,"Computer vision, Information systems, Computer science, Optical pattern recognition, Computer graphics, Artificial intelligence, Informatique, Human-computer interaction, Digital techniques, Image Processing, Computer-Assisted, Congrès, Computer Graphics, Congresses, User-Computer Interface, Traitement d'images, Image processing, Techniques numériques, Methods, Computer animation"
Artificial Intelligence and Computational Intelligence,Hepu Deng,2011,"Software engineering, Information storage and retrieval systems, Computer science, Artificial intelligence, Computer software, Computational intelligence"
Towards an Information Theory of Complex Networks,Matthias Dehmer,2011,"Mathematics, Coding theory, Physiology, Artificial intelligence, Telecommunication, Information theory, System analysis"
Machine Learning and Knowledge Discovery in Databases,José Luis Balcázar,2010,"Information systems, Computer science, Database management, Information storage and retrieval systems, Data mining, Artificial intelligence"
Introduction to Databases,Péter Révész,2010,"Computer science, Artificial intelligence, Database management, Informatique, Databases, Datenbank"
Visual Informatics: Bridging Research and Practice,Halimah Badioze Zaman,2009,"Computer vision, Computer graphics, Computer science, Optical pattern recognition, Artificial intelligence, Computer software, Visualization, Congresses, Information visualization, Image analysis, Image processing, Virtual reality, Bildinformatik, Bildverarbeitung, Simulation, Virtuelle Realität, Visualisierung, Imaging systems"
Ubiquitous Knowledge Discovery,Michael May,2010,"Information systems, Computer science, Data mining, Computer networks, Artificial intelligence, Computer software, Ubiquitous computing"
Image Analysis and Recognition,Aurélio Campilho,2010,"Computer vision, Computer graphics, Computer science, Optical pattern recognition, Computer software, Artificial intelligence, Information systems, Imaging systems"
Biomedical image analysis and machine learning technologies,,2010,"Methods, Diagnostic imaging, Digital techniques, Image Interpretation, Computer-Assisted, Image analysis, Artificial Intelligence, Machine learning"
Industrial Applications Of Evolutionary Algorithms,Alberto Tonda,2012,"Evolutionary computation, Engineering mathematics, Artificial intelligence, Industrial applications"
Gesture-Based Human-Computer Interaction and Simulation,"Hutchison, David - undifferentiated",2009,"Optical pattern recognition, Computer vision, Computer science, Artificial intelligence, Human-computer interaction, Congresses, Gesture, Sign language, Computer simulation, Mensch-Maschine-Kommunikation, Kongress, Gestik, Bilderkennung, Multimedia, Zeichensprache, Virtuelle Realität, Gegenständliche Benutzeroberfläche"
"Intelligent Networking, Collaborative Systems and Applications",Santi Caballe,2011,"Engineering, Artificial intelligence, World Wide Web 2.0, Ubiquitous Computing, Computer networks, Lernendes System, Distributed processing, Kollaboration <Informatik>, Netzwerktopologie, Wissenstechnik, Electronic data processing, Virtuelle Gemeinschaft, Kryptoanalyse, Diagnosesystem, Electronic data processing, distributed processing"
AI 2003,,2004,"Business Intelligence Tools, Apprentissage automatique, Re seau neuronal (Informatique), COMPUTERS, Kongress, Enterprise Applications, Exploration de donne es, Congresses, Intelligence (AI) & Semantics, Congre  s., Ku nstliche Intelligenz, Raisonnement (Informatique), Artificial intelligence, Intelligence artificielle, Réseau neuronal (Informatique), Künstliche Intelligenz, Congrès, Exploration de données"
Semiotics and intelligent systems development,,2006,"Intelligent control systems, Artificial intelligence, Semiotics"
Metadata and Semantic Research,Salvador Sanchez-Alonso,2010,"Information systems, Computer science, Information storage and retrieval systems, Database management, Computer networks, Data mining, Artificial intelligence, Semantic computing, Semantic Web, Congresses, Metadata, World wide web"
Artificial intelligence,,2004,"Business Intelligence Tools, Congresses, Enterprise Applications, Intelligence (AI) & Semantics, COMPUTERS, Artificial intelligence"
Unifying Themes in Complex Systems,Ali Minai,2008,"Mathematics, Physics, Artificial intelligence, System theory, Computational complexity, Game Theory, Economics, Social and Behav. Sciences, Operations Research/Decision Theory, Dynamical Systems and Complexity Statistical Physics, Artificial Intelligence (incl. Robotics)"
Fuzzy Systems in Bioinformatics and Computational Biology,Janusz Kacprzyk,2009,"Engineering mathematics, Artificial intelligence, Bioinformatics, Fuzzy logic, Fuzzy systems, Computational biology, Fuzzy Logic, Systems Biology, Gene Expression Profiling, Oligonucleotide Array Sequence Analysis, Biomedizinische Technik, Aufsatzsammlung, Fuzzy-Logik, Molekulare Bioinformatik, Fuzzy-Regelsystem, Fuzzy-Regelung, Bioinformatik"
Advances In Computer Science Engineering And Applications,Dhinaharan Nagamalai,2012,"Computer science, Computer networks, congresses, Software engineering, Data mining, Telecommunication, Computational intelligence, Congresses, Pattern perception, Artificial intelligence"
Mind And Machine,Joel Walmsley,2012,"Artificial intelligence, Philosophy"
Text Speech And Dialogue 11th International Conference Tsd 2008 Brno Czech Republic September 812 2008 Proceedings,Ales Horak,2008,"Information systems, Translators (Computer programs), Data mining, Information storage and retrieval systems, Artificial intelligence, Computational linguistics, Natural language processing (Computer science), Congresses"
Intelligent Text Categorization And Clustering,Janusz Kacprzyk,2008,"Engineering, Engineering mathematics, Translators (Computer programs), Text processing (Computer science), Artificial intelligence, Computational linguistics, Text processing (computer science), Cluster analysis, Document clustering, Computer programs, Traitement de texte, Regroupement des documents (Informatique), Classification automatique (Statistique), Logiciels, Intelligence artificielle, Soft Computing, Data Mining, Textverarbeitung, Cluster-Analyse, Datenbanksystem, Text Mining"
"Web Information Systems Engineering  WISE 2010 Workshops
            
                Lecture Notes in Computer Science",Ladjel Bellatreche,2011,"Computer vision, Information systems, Computer science, Database management, Computer networks, Artificial intelligence, Web services, Electronic commerce, Mobile computing, World wide web"
"New Horizons in Evolutionary Robotics
            
                Studies in Computational Intelligence",Stephane Doncieux,2011,"Engineering, Artificial intelligence, Robotics"
"Advances in Neural Networks  ISNN 2009
            
                Lecture Notes in Computer Science",Haibo He,2009,"Computational complexity, Computer science, Optical pattern recognition, Computer networks, Artificial intelligence, Computer software, Neural computers, Neural networks (computer science)"
Artificial Neural Networks,Jan Koutnik,2008,"Optical pattern recognition, Neurosciences, Information systems, Computer science, Artificial intelligence"
"Wireless Communications and Applications
            
                Lecture Notes of the Institute for Computer Sciences Social",Patrick S. Nac,2012,"Wireless communication systems, Computer networks, Artificial intelligence"
Ecg Signal Processing Classification And Interpretation A Comprehensive Framework Of Computational Intelligence,"Adam Gacek, Witold Pedrycz",2011,"Engineering, Biomedical engineering, Cardiology, Computational intelligence, Signal processing, digital techniques, Signal processing, Methods, Electrocardiography, Data processing, Digital techniques, Diagnosis, Signal Processing, Computer-Assisted, Artificial Intelligence, Heart Diseases"
Advanced Research In Applied Artificial Intelligence Proceedings,Moonis Ali,2012,"Artificial intelligence, Intelligent agents (computer software), Intelligent control systems, Industrial engineering"
Proceedings 10th Mexican International Conference On Artificial Intelligence Micai 2011 Puebla Mexico November 26 December 4 2011 Ildar Batyrshin Grigori Sidorov Ed,Grigori Sidorov,2011,"Computer Imaging, Vision, Pattern Recognition and Graphics, Pattern perception, Image Processing and Computer Vision, Data Mining and Knowledge Discovery, Optical pattern recognition, Computer vision, Information Systems Applications (incl. Internet), Artificial Intelligence (incl. Robotics), Data mining, Artificial intelligence, Computer science, Soft computing"
Autonomic Computing And Communications Systems Third International Icst Conference Autonomics 2009 Limassol Cyprus September 911 2009 Revised Selected Papers,Roberto Beraldi,2010,"Information systems, Computer science, Computer networks, Computer network architectures, Operating systems (Computers), Artificial intelligence, Autonomic computing, Congresses, Automatic control, Adaptive control systems, Electronic data processing"
Innovative Computing Technology First International Conference Inct 2011 Tehran Iran December 1315 2011 Proceedings,Hojat Ahmadi,2012,"Software engineering, Information organization, Computer networks, Algorithm Analysis and Problem Complexity, Information retrieval, Information Systems Applications (incl. Internet), Artificial Intelligence (incl. Robotics), Information storage and retrieval systems, Computer software, Artificial intelligence, Computer science, Web services, Computational intelligence, Computer Communication Networks"
Medical Image Computing And Computer Assisted Intervention,Dimitris Metaxas,2008,"Optical pattern recognition, Computer vision, Computer graphics, Artificial intelligence, Medical Radiology"
The Darpa Urban Challenge Autonomous Vehicles In City Traffic,Martin Buehler,2009,"Engineering, Artificial intelligence, System theory, Autonomous vehicles, Motor vehicles, Automatic control, Automobile driving, Automation, Intelligent control systems, Mobile robots, Research, United States. Defense Advanced Research Projects Agency, United States, Robots"
Intelligent And Soft Computing In Infrastructure Systems Engineering Recent Advances,Kasthurirangan Gopalakrishnan,2009,"Engineering economy, Engineering mathematics, Engineering, Artificial intelligence, Soft computing, Pavements, Systems engineering, Design and construction"
Realworld Wireless Sensor Networks 4th International Workshop Realwsn 2010 Colombo Sri Lanka December 1617 2010 Proceedings,Peter Corke,2011,"Computer simulation, Computer science, Software engineering, Data mining, Computer networks, Artificial intelligence, Wireless sensor networks, Congresses, Sensor networks"
Mega Man,Ian Flynn,2011,"Good and evil, Science fiction, Artificial intelligence, Boys, Cartoons and comics, Comic books, strips, Fiction, Children's fiction, Adventure and adventurers, fiction, Short stories"
Indistinguishability Operators Modelling Fuzzy Equalities And Fuzzy Equivalence Relations,Jordi Recasens,2010,"Engineering, Artificial intelligence, Fuzzy logic"
On The Move To Meaningful Internet Systems Otm 2011 Confederated International Conferences Coopis Doasvi And Odbase 2011 Hersonissos Crete Greece October 2011 Proceedings,Tharam Dillon,2011,"Information Systems, Computer science, Software engineering, Computer networks, Artificial intelligence, Computer software, Distributed databases, Information storage and retrieval systems, Internet, Semantics"
Time-Dependent Scheduling,Stanisław Gawiejnowicz,2008,"Mathematical optimization, Information theory, Artificial intelligence, Operations research, Computer software, Computer capacity, Computer algorithms, Production control, Planning, Production scheduling, COMPUTERS, Systems Architecture, General, Informatique"
Semantic Agent Systems,Atilla Elçi,2011,"Engineering, Translators (Computer programs), Artificial intelligence, Translators (computer programs), Intelligent agents (computer software), World wide web"
Logic-Based Program Synthesis and Transformation,Danny De Schreye,2010,"Logic design, Software engineering, Computer science, Artificial intelligence, Informatique, Programmtransformation, Logic programming, Congresses, Logische Programmierung, Logic, Beweistheorie, Programmierlogik, Programmsynthese, Software"
Computer Networks and Information Technologies,Vinu V. Das,2011,"Computer vision, Computer science, Data mining, Multimedia systems, Computer network architectures, Artificial intelligence, Computer software, Computer networks, congresses, Information technology, Communication, Image Processing and Computer Vision, Data Mining and Knowledge Discovery, Algorithm Analysis and Problem Complexity, Computer Systems Organization and Communication Networks, Artificial Intelligence (incl. Robotics)"
Advances In Autonomous Robotics Joint Proceedings Of The 13th Annual Taros Conference And The 15th Annual Fira Roboworld Congress Bristol Uk August 2023 2012,Guido Herrmann,2012,"Robots, Computer science, Data mining, Artificial intelligence, Computer vision"
"Advanced Intelligent Computing Theories and Applications
            
                Lecture Notes in Computer Science",Daniel S. Levine,2008,"Optical pattern recognition, Computer vision, Computer science, Artificial intelligence, Computer software, Computational intelligence, Congresses, Industrial applications, Computational biology, Bioinformatics, Cognitive neuroscience"
"Recent Advances in Reinforcement Learning
            
                Lecture Notes in Artificial Intelligence",Sertan Girgin,2008,"Information systems, Computer science, Artificial intelligence, Database management, Reinforcement learning, Congresses, Machine learning, Reinforcement (psychology)"
"Bioinformatics and Computational Biology
            
                Lecture Notes in Bioinformatics",Sanguthevar Rajasekaran,2009,"Biology, Computer science, Data processing, Bioinformatics, Information storage and retrieval systems, Data mining, Artificial intelligence, Congresses, Computational biology, Computational Biology, Methods, Gene Expression Profiling, Microarray Analysis, DNA Sequence Analysis, Bioinformatik, Kongress"
Multiagent System Technologies 9th German Conference Proceedings,Franziska Klugl,2011,"Intelligent agents (computer software), Artificial intelligence, Multiagent systems, Congresses, Systèmes multiagents (Intelligence artificielle), Congrès, Informatique"
Argumentation In Multiagent Systems 7th International Workshop Argmas 2010 Toronto On Canada May 10 2010 Revised Selected And Invited Papers,Simon Parsons,2011,"Intelligent agents (Computer software), Congresses, Artificial intelligence, Logic, Computer software, development"
Foundations Of Computational Intelligence,Patrick Siarry,2009,"Engineering, Engineering mathematics, Artificial intelligence, Computational intelligence, Genetic algorithms"
"Neural Information Processing
            
                Lecture Notes in Computer Science",Abdesselam Bouzerdoum,2011,"Computer vision, Computer simulation, Computer science, Data mining, Optical pattern recognition, Artificial intelligence, Neural networks (computer science)"
Advances In Intelligent Modelling And Simulation Simulation Tools And Applications,Aleksander Byrski,2012,"Computer simulation, Mathematical models, Engineering, Artificial intelligence, Engineering mathematics, Computational intelligence"
"Advances in Computer Science and Engineering
            
                Advances in Intelligent and Soft Computing",Dehuai Zeng,2012,"Computer engineering, Congresses, Computer science, Software engineering, Artificial intelligence, Electronic data processing, Computational intelligence"
Artificial Intelligence And Creativity An Interdisciplinary Approach,T. Dartnall,2010,"Artificial intelligence, Creative ability"
Hybrid Random Fields A Scalable Approach To Structure And Parameter Learning In Probabilistic Graphical Models,Antonino Freno,2011,"Engineering, Artificial intelligence, Probabilities, Graphical modeling (Statistics), Statistics, graphic methods"
"On the Move to Meaningful Internet Systems OTM 2011
            
                Lecture Notes in Computer Science",Pilar Herrero,2011,"Information Systems, Computer science, Software engineering, Computer networks, Artificial intelligence, Computer software, Distributed databases, Information storage and retrieval systems, Internet, Semantics, Databases"
Data Matching Concepts And Techniques For Record Linkage Entity Resolution And Duplicate Detection,Peter Christen,2012,"Database management, Information retrieval, Data mining, Computer science, Information storage and retrieval systems, Artificial intelligence, Optical pattern recognition, Statistical matching"
Communication And Networking,Hojjat Adeli,2012,"Database management, Computer networks, Information organization, Algorithm Analysis and Problem Complexity, Information retrieval, Information Systems Applications (incl. Internet), Artificial Intelligence (incl. Robotics), Information storage and retrieval systems, Computer software, Artificial intelligence, Computer science, Wireless communication systems, Computer networks, congresses, Computer Communication Networks"
Artificial Immune Systems 7th International Conference Icaris 2008 Phuket Thailand August 1013 2008 Proceedings,"Bentley, Peter",2008,"Computer science, Bioinformatics, Information storage and retrieval systems, Data mining, Artificial intelligence, Computer software, Artificial immune systems, Congresses, Immune system, Computer simulation, Immunocomputers"
Knowledge Science Engineering And Management Third International Conference Ksem 2009 Vienna Austria November 2527 2009 Proceedings,Zhi Jin,2010,"Information systems, Computer science, Database management, Optical pattern recognition, Data mining, Artificial intelligence, Knowledge acquisition (expert systems), Knowledge management, Information technology, Decision making, data processing, Problem solving, data processing, Knowledge acquisition (Expert systems), Congresses, Decision making, Data processing, Problem solving, Data Mining, Kongress, Ontologie <Wissensverarbeitung>, Wissensbasiertes System, Entscheidungsfindung, Wissenstechnik, Wissensverarbeitung, Maschinelles Lernen, Ontologie (Wissensverarbeitung)"
Certified Programs And Proofs First International Conference Cpp 2011 Kenting Taiwan December 79 2011 Proceedings,Zhong Shao,2011,"Mathematical Logic and Formal Languages, Software engineering, Algebra, Symbolic and Algebraic Manipulation, Logic design, Logics and Meanings of Programs, Computer science, Data processing, Programming Languages, Compilers, Interpreters, Artificial intelligence, Artificial Intelligence (incl. Robotics), Computer industry, Electronic data processing personnel, certification"
Signal Processing And Information Technology First International Joint Conference Spit 2011 Amsterdam The Netherlands December 12 2011 Revised Selected Papers,Ezendu Ariwa,2012,"Signal processing, digital techniques, Computer science, Information technology, Image processing, digital techniques, Software engineering, Computer software, Information storage and retrieval systems, Artificial intelligence"
"HumanRobot Personal Relationships
            
                Lecture Notes of the Institute for Computer Sciences Social",Fons J. Verbeek,2011,"Software engineering, Computer networks, Information systems, Computer science, Artificial intelligence, Human-computer interaction, Social aspects, Human factors, Robotics, Assistive computer technology, Personal robotics, Congresses, Psychological aspects, Computation by Abstract Devices, User Interfaces and Human Computer Interaction, Computer Communication Networks, Artificial Intelligence (incl. Robotics), Information Systems Applications (incl.Internet)"
Semantic Methods For Executionlevel Business Process Modeling Modeling Support Through Process Verification And Service Composition,Ingo M. Weber,2010,"Artificial intelligence, Information systems, Computer science, Software engineering, Management information systems, Business logistics, World wide web, Reengineering (management), Business, Data processing, Semantic computing, Reengineering (Management), Service-oriented architecture (Computer science), Mathematische Modellierung, Prozessmanagement, Semantische Modellierung, Semantische interpretatie, Modellen (vorm)"
